shot,tc_in,tc_out,dur_s,asset_type,master_filename,narration,overlay,transition
001,00:00:00:00,00:00:04:00,4,STILL_PHOTO,001_00m00s-00m04s_three-eights.png,"In 1817, a Scottish mill owner reduced a human day to three numbers: eight, eight, eight.",1817; 8 / 8 / 8,Hard cut at the shot boundary; use no dissolve unless a 2–4-frame paper breathing gap is needed.
002,00:00:04:00,00:00:08:00,4,STILL_PHOTO,002_00m04s-00m08s_three-part-day.png,Eight hours of work. Eight hours of rest. Eight hours left for living.,WORK / REST / LIFE,Hard cut at the shot boundary; use no dissolve unless a 2–4-frame paper breathing gap is needed.
003,00:00:08:00,00:00:12:00,4,STILL_PHOTO,003_00m08s-00m12s_modern-and-factory-workers.png,"Today, that sounds ordinary. Back then, it sounded almost absurd.",,Hard cut at the shot boundary; use no dissolve unless a 2–4-frame paper breathing gap is needed.
004,00:00:12:00,00:00:16:00,4,STILL_PHOTO,004_00m12s-00m16s_long-factory-day.png,"Many mill workers faced twelve or fourteen hours a day, six days a week.",,Hard cut at the shot boundary; use no dissolve unless a 2–4-frame paper breathing gap is needed.
005,00:00:16:00,00:00:20:00,4,ANIMATE_CLIP,005_00m16s-00m20s_three-eights-rebellion.png,Those numbers were not a wellness slogan. They were a rebellion.,8 / 8 / 8,Hard cut at the shot boundary; use no dissolve unless a 2–4-frame paper breathing gap is needed.
006,00:00:20:00,00:00:24:00,4,STILL_PHOTO,006_00m20s-00m24s_robert-owen-reveal.png,"The man who wrote them was not a doctor, a monk, or a philosopher.",,Hard cut at the shot boundary; use no dissolve unless a 2–4-frame paper breathing gap is needed.
007,00:00:24:00,00:00:28:00,4,STILL_PHOTO,007_00m24s-00m28s_robert-owen-new-lanark.png,"He was Robert Owen, owner of the New Lanark cotton mills.","ROBERT OWEN, 1817",Hard cut at the shot boundary; use no dissolve unless a 2–4-frame paper breathing gap is needed.
008,00:00:28:00,00:00:32:00,4,STILL_PHOTO,008_00m28s-00m32s_work-owns-the-day.png,He asked a dangerous question: how much of a human day can work own?,,Hard cut at the shot boundary; use no dissolve unless a 2–4-frame paper breathing gap is needed.
009,00:00:32:00,00:00:36:00,4,STILL_PHOTO,009_00m32s-00m36s_modern-inheritance.png,"Two hundred years later, you still live inside his unfinished answer.",,Hard cut at the shot boundary; use no dissolve unless a 2–4-frame paper breathing gap is needed.
010,00:00:36:00,00:00:40:00,4,ANIMATE_CLIP,010_00m36s-00m40s_alarm-calendar-takeover.png,Your alarm rings. Your calendar fills. Your time leaves before the day begins.,,Hard cut at the shot boundary; use no dissolve unless a 2–4-frame paper breathing gap is needed.
