shot,target_candidate_filename,job_id,allowed_motion_to_verify,render_spec,qa_camera_locked,qa_no_new_or_morphed_objects,qa_only_specified_motion,qa_style_preserved,qa_no_generated_text,verdict,notes
005,005_00m16s-00m20s_three-eights-rebellion__VEO_I2V_4s.mp4,dc9d4444-39db-4517-8d0b-2eb633c4971c,One slow pulse of paper and numerals with restrained vibration marks; nothing new enters.,4.000s; 1920x1080; 16:9; locked camera; no generated text,,,,,,PENDING_REVIEW,
010,010_00m36s-00m40s_alarm-calendar-takeover__VEO_I2V_4s.mp4,975c2566-9ce8-4ca8-b6cf-8c6cbb658ee5,One tiny bell shake; the three existing cards glide gently into the open dial wedges.,4.000s; 1920x1080; 16:9; locked camera; no generated text,,,,,,PENDING_REVIEW,
015,015_00m56s-01m00s_remove-caveman-cartoon__VEO_I2V_4s.mp4,ab66644c-6b74-490f-b5f3-cb0f5761461f,One eraser pass; add “HUNTER-GATHERERS” afterward as a crisp editor layer.,4.000s; 1920x1080; 16:9; locked camera; no generated text,,,,,,PENDING_REVIEW,
020,020_01m16s-01m20s_anthropology-clue__VEO_I2V_4s.mp4,9810c6a4-b59c-47dc-a1d0-b2a6d2078e58,The three objects rise a few pixels; tiny dust puffs disperse.,4.000s; 1920x1080; 16:9; locked camera; no generated text,,,,,,PENDING_REVIEW,
025,025_01m36s-01m40s_short-vs-forty-hour-week__VEO_I2V_4s.mp4,d100657a-0950-42f2-8a72-a8a911875399,Short strip slides alongside the heavier long strip.,4.000s; 1920x1080; 16:9; locked camera; no generated text,,,,,,PENDING_REVIEW,
030,030_01m56s-02m00s_task-ended-clock-fades__VEO_I2V_4s.mp4,c16e1dff-68c7-4740-981e-906ed9383b15,The existing clock fades into dots while the spear settles.,4.000s; 1920x1080; 16:9; locked camera; no generated text,,,,,,PENDING_REVIEW,
035,035_02m16s-02m20s_the-hour-itself__VEO_I2V_4s.mp4,b2f4c4ff-6232-41d4-b952-11c5e3bc1111,"One slow, heavy minute-hand tick; nothing else changes.",4.000s; 1920x1080; 16:9; locked camera; no generated text,,,,,,PENDING_REVIEW,
040,040_02m36s-02m40s_mechanical-clock-origin__VEO_I2V_4s.mp4,ca6d4cbb-cf5a-4f4e-8f4a-345f49004f55,Existing gears rotate slightly as the clock rises a few pixels.,4.000s; 1920x1080; 16:9; locked camera; no generated text,,,,,,PENDING_REVIEW,
045,045_02m56s-03m00s_stored-food-property-power__VEO_I2V_4s.mp4,0de37940-dd58-4607-9ef4-1d04a246b619,"Existing grain pile nudges toward the granary, then existing key hand rises a few pixels; no morphing or new objects.",4.000s; 1920x1080; 16:9; locked camera; no generated text,,,,,,PENDING_REVIEW,
050,050_03m16s-03m20s_bell-as-border__VEO_I2V_4s.mp4,f5d266d9-ea6b-4c51-92bd-a7d099d68eff,Existing bell swings once by a very small angle and one existing sound-wave line travels outward; workers and border stay still.,4.000s; 1920x1080; 16:9; locked camera; no generated text,,,,,,PENDING_REVIEW,
055,055_03m36s-03m40s_late-minute-punished__VEO_I2V_4s.mp4,5800d2dc-d501-4278-87bf-3124a501d8ce,Only existing minute hand moves a short distance toward red late mark and red mark pulses once; worker and inspector remain still.,4.000s; 1920x1080; 16:9; locked camera; no generated text,,,,,,PENDING_REVIEW,
060,060_03m56s-04m00s_recreation-not-for-sale__VEO_I2V_4s.mp4,7d2658c2-7154-4e0f-b1d1-5d26c8e6be01,Existing blank banner makes one soft warm pulse while three existing coins drift a few pixels away; no text or hands appear.,4.000s; 1920x1080; 16:9; locked camera; no generated text,,,,,,PENDING_REVIEW,
065,065_04m16s-04m20s_protection-to-commandment__VEO_I2V_4s.mp4,71117ee9-b6ae-42a4-b293-a0e96793da82,Existing shield makes one slow heavy downward settle behind existing stone tablet; title plates and background remain static.,4.000s; 1920x1080; 16:9; locked camera; no generated text,,,,,,PENDING_REVIEW,
070,070_04m36s-04m40s_clock-into-pocket__VEO_I2V_4s.mp4,896b8307-5416-47a7-85b0-c6b617d3eee9,"Existing wall clock scales down slightly along existing route toward already-present phone; no new device, text, or morphing.",4.000s; 1920x1080; 16:9; locked camera; no generated text,,,,,,PENDING_REVIEW,
075,075_04m56s-05m00s_erased-boundary__VEO_I2V_4s.mp4,f8030c72-e4c0-4bc3-8ff0-4a322b98de45,Existing broken line erases by only a few more pixels; laptop screen holds steady and nothing morphs.,4.000s; 1920x1080; 16:9; locked camera; no generated text,,,,,,PENDING_REVIEW,
080,080_05m16s-05m20s_maintenance-fragmented__VEO_I2V_4s.mp4,d345ffbe-2661-474e-9f33-9d65b7cd621d,"Existing paper-strip pieces drift a few pixels apart from central fractured banner; no letters, hands, or new fragments.",4.000s; 1920x1080; 16:9; locked camera; no generated text,,,,,,PENDING_REVIEW,
085,085_05m36s-05m40s_exhaustion-is-not-failure__VEO_I2V_4s.mp4,25e9388b-5798-494b-bb01-ee8856bc8c49,Existing four-part loop tightens inward by only two or three pixels; hero remains still.,4.000s; 1920x1080; 16:9; locked camera; no generated text,,,,,,PENDING_REVIEW,
090,090_05m56s-06m00s_deeper-prehistoric-comparison__VEO_I2V_4s.mp4,12b6d3c0-e642-4b02-821e-1d73e3fd2ae9,Existing day dial turns a few degrees slowly; both existing heroes remain still.,4.000s; 1920x1080; 16:9; locked camera; no generated text,,,,,,PENDING_REVIEW,
095,095_06m16s-06m20s_saving-is-not-deciding__VEO_I2V_4s.mp4,cfdd1e28-db2c-46ed-9aa4-111eb52dcebf,Existing minute tokens glide slowly from three machines into existing pipe; no new token/machine/pipe segment.,4.000s; 1920x1080; 16:9; locked camera; no generated text,,,,,,PENDING_REVIEW,
