order,shot,asset_type,master_filename,start_s,end_s,dur_s
1,001,STILL_PHOTO,001_00m00s-00m04s_three-eights.png,0.0,6.862,6.862
2,002,STILL_PHOTO,002_00m04s-00m08s_three-part-day.png,6.862,12.259,5.397
3,003,STILL_PHOTO,003_00m08s-00m12s_modern-and-factory-workers.png,12.259,17.27,5.011
4,004,STILL_PHOTO,004_00m12s-00m16s_long-factory-day.png,17.27,22.821,5.551
5,005,ANIMATE_CLIP,005_00m16s-00m20s_three-eights-rebellion.png,22.821,27.756,4.934
6,006,STILL_PHOTO,006_00m20s-00m24s_robert-owen-reveal.png,27.756,32.844,5.089
7,007,STILL_PHOTO,007_00m24s-00m28s_robert-owen-new-lanark.png,32.844,37.239,4.395
8,008,STILL_PHOTO,008_00m28s-00m32s_work-owns-the-day.png,37.239,42.482,5.243
9,009,STILL_PHOTO,009_00m32s-00m36s_modern-inheritance.png,42.482,47.802,5.32
10,010,ANIMATE_CLIP,010_00m36s-00m40s_alarm-calendar-takeover.png,47.802,53.815,6.014
11,011,STILL_PHOTO,011_00m40s-00m44s_work-more-than-caveman.png,53.815,59.212,5.397
12,012,STILL_PHOTO,012_00m44s-00m48s_modern-convenience.png,59.212,65.226,6.014
13,013,STILL_PHOTO,013_00m48s-00m52s_hidden-question.png,65.226,70.931,5.705
14,014,STILL_PHOTO,014_00m52s-00m56s_control-of-the-day.png,70.931,75.866,4.934
15,015,ANIMATE_CLIP,015_00m56s-01m00s_remove-caveman-cartoon.png,75.866,80.723,4.857
16,016,STILL_PHOTO,016_01m00s-01m04s_no-single-prehistoric-life.png,80.723,86.891,6.168
17,017,STILL_PHOTO,017_01m04s-01m08s_survival-is-fragile.png,86.891,92.905,6.014
18,018,STILL_PHOTO,018_01m08s-01m12s_modern-medicine-and-safety.png,92.905,98.764,5.86
19,019,STILL_PHOTO,019_01m12s-01m16s_survival-versus-control.png,98.764,102.311,3.547
20,020,ANIMATE_CLIP,020_01m16s-01m20s_anthropology-clue.png,102.311,107.245,4.934
21,021,STILL_PHOTO,021_01m20s-01m24s_richard-lee-kalahari.png,107.245,112.873,5.628
22,022,STILL_PHOTO,022_01m24s-01m28s_food-not-happiness.png,112.873,118.116,5.243
23,023,STILL_PHOTO,023_01m28s-01m32s_dobe-food-hours.png,118.116,124.13,6.014
24,024,STILL_PHOTO,024_01m32s-01m36s_not-all-warning.png,124.13,129.758,5.628
25,025,ANIMATE_CLIP,025_01m36s-01m40s_short-vs-forty-hour-week.png,129.758,135.155,5.397
26,026,STILL_PHOTO,026_01m40s-01m44s_forager-life-tasks.png,135.155,142.248,7.093
27,027,STILL_PHOTO,027_01m44s-01m48s_worked-differently.png,142.248,147.182,4.934
28,028,STILL_PHOTO,028_01m48s-01m52s_task-weather-hunger-people.png,147.182,152.348,5.166
29,029,STILL_PHOTO,029_01m52s-01m56s_need-and-repair.png,152.348,157.976,5.628
30,030,ANIMATE_CLIP,030_01m56s-02m00s_task-ended-clock-fades.png,157.976,162.756,4.78
31,031,STILL_PHOTO,031_02m00s-02m04s_task-vs-time.png,162.756,168.153,5.397
32,032,STILL_PHOTO,032_02m04s-02m08s_thompson-1967.png,168.153,173.936,5.782
33,033,STILL_PHOTO,033_02m08s-02m12s_task-expands-and-contracts.png,173.936,180.258,6.322
34,034,STILL_PHOTO,034_02m12s-02m16s_time-discipline.png,180.258,185.192,4.934
35,035,ANIMATE_CLIP,035_02m16s-02m20s_the-hour-itself.png,185.192,186.888,1.696
36,036,STILL_PHOTO,036_02m20s-02m24s_hour-as-product.png,186.888,192.748,5.86
37,037,STILL_PHOTO,037_02m24s-02m28s_paid-for-presence.png,192.748,197.914,5.166
38,038,STILL_PHOTO,038_02m28s-02m32s_born-into-time-discipline.png,197.914,203.388,5.474
39,039,STILL_PHOTO,039_02m32s-02m36s_built-over-centuries.png,203.388,208.63,5.243
40,040,ANIMATE_CLIP,040_02m36s-02m40s_mechanical-clock-origin.png,208.63,213.025,4.395
41,041,STILL_PHOTO,041_02m40s-02m44s_bells-synchronize-routines.png,213.025,217.882,4.857
42,042,STILL_PHOTO,042_02m44s-02m48s_shared-time-coordinates-strangers.png,217.882,222.663,4.78
43,043,STILL_PHOTO,043_02m48s-02m52s_agriculture-settlement-transition.png,222.663,228.83,6.168
44,044,STILL_PHOTO,044_02m52s-02m56s_field-cycle.png,228.83,233.842,5.011
45,045,ANIMATE_CLIP,045_02m56s-03m00s_stored-food-property-power.png,233.842,239.47,5.628
46,046,STILL_PHOTO,046_03m00s-03m04s_move-or-return.png,239.47,244.713,5.243
47,047,STILL_PHOTO,047_03m04s-03m08s_records-schedules-timekeepers.png,244.713,250.881,6.168
48,048,STILL_PHOTO,048_03m08s-03m12s_factory-synchronization-scale.png,250.881,256.895,6.014
49,049,STILL_PHOTO,049_03m12s-03m16s_inputs-converge-at-factory.png,256.895,262.446,5.551
50,050,ANIMATE_CLIP,050_03m16s-03m20s_bell-as-border.png,262.446,266.686,4.24
51,051,STILL_PHOTO,051_03m20s-03m24s_mill-town-before-sunrise.png,266.686,271.389,4.703
52,052,STILL_PHOTO,052_03m24s-03m28s_lonely-sound-travels.png,271.389,277.634,6.245
53,053,STILL_PHOTO,053_03m28s-03m32s_bell-starts-workers-move.png,277.634,283.031,5.397
54,054,STILL_PHOTO,054_03m32s-03m36s_clock-starts-shift.png,283.031,288.12,5.089
55,055,ANIMATE_CLIP,055_03m36s-03m40s_late-minute-punished.png,288.12,292.129,4.009
56,056,STILL_PHOTO,056_03m40s-03m44s_obedience-as-routine.png,292.129,297.834,5.705
57,057,STILL_PHOTO,057_03m44s-03m48s_body-learns-routine.png,297.834,303.154,5.32
58,058,STILL_PHOTO,058_03m48s-03m52s_workers-fought-clock.png,303.154,308.088,4.934
59,059,STILL_PHOTO,059_03m52s-03m56s_owen-three-eights-formula.png,308.088,313.408,5.32
60,060,ANIMATE_CLIP,060_03m56s-04m00s_recreation-not-for-sale.png,313.408,318.805,5.397
61,061,STILL_PHOTO,061_04m00s-04m04s_first-international-demand.png,318.805,324.742,5.937
62,062,STILL_PHOTO,062_04m04s-04m08s_1886-eight-hour-rally.png,324.742,330.601,5.86
63,063,STILL_PHOTO,063_04m08s-04m12s_exploitation-visible.png,330.601,335.459,4.857
64,064,STILL_PHOTO,064_04m12s-04m16s_eight-hours-ceiling.png,335.459,339.082,3.624
65,065,ANIMATE_CLIP,065_04m16s-04m20s_protection-to-commandment.png,339.082,343.554,4.472
66,066,STILL_PHOTO,066_04m20s-04m24s_1938-forty-hour-law.png,343.554,349.105,5.551
67,067,STILL_PHOTO,067_04m24s-04m28s_covered-not-all.png,349.105,354.965,5.86
68,068,STILL_PHOTO,068_04m28s-04m32s_protected-forty-hour-inheritance.png,354.965,360.516,5.551
69,069,STILL_PHOTO,069_04m32s-04m36s_factory-wall-disappears.png,360.516,364.905,4.389
70,070,ANIMATE_CLIP,070_04m36s-04m40s_clock-into-pocket.png,364.905,367.984,3.08
71,071,STILL_PHOTO,071_04m40s-04m44s_portable-bell.png,367.984,373.682,5.698
72,072,STILL_PHOTO,072_04m44s-04m48s_message-anywhere.png,373.682,378.148,4.466
